	OMOPID	MIN_FILTER	MAX_FILTER
0	3000963	-inf	500.0
1	3024731	-inf	2000.0
2	3010813	-inf	2000.0
3	3026361	-inf	20.0
4	3020564	-inf	10000.0
5	3009542	0.0	100.0
6	3019550	-inf	10000.0
7	3001308	0.0	20.0
8	3023602	-inf	15.0
9	3018251	1.0	100.0
10	3003338	-inf	1000.0
11	3002385	-inf	100.0
12	3004410	-inf	250.0
13	3020460	-inf	1000.0
14	40764999	-inf	400.0
15	3013707	-inf	200.0
16	3021347	-inf	20.0
17	3024561	-inf	60.0
18	40771025	-inf	1000.0
19	3009508	-inf	1000.0
20	3019800	-inf	1000000.0
21	3020682	-inf	6000.0
22	3026782	0.0	inf
23	3022948	-inf	1000.0
24	3032080	-inf	40.0
25	3016502	-inf	102.0
26	3003396	-inf	100.0
27	3016417	-inf	100000.0
28	3011960	-inf	100000.0
29	3019150	-inf	100.0
30	3018405	-inf	40.0
31	3046279	-inf	10000.0
32	46236952	-inf	400.0
33	3009214	-inf	200.0
34	3030366	-inf	40.0
35	3020427	-inf	10.0
36	3006184	-inf	600.0
37	3000475	-inf	2000000.0
38	3000570	-inf	1000.0
39	3010838	-inf	40.0
40	3012501	0.0	inf
41	3019897	5.0	inf
42	3009466	-inf	3000.0
43	3017044	-inf	1000.0
44	3022756	-inf	50000.0
45	3000081	-inf	200000.0
46	3006270	-inf	1500.0
47	3010130	-inf	200.0
48	3005791	-inf	500.0
49	3031309	-inf	500.0
50	3003245	-inf	5.0
